Beijing Daxing International Airport,PKX,Beijing,China
Los Angeles International Airport,LAX,Los Angeles,USA
Heathrow Airport,LHR,London,UK
Charles de Gaulle Airport,CDG,Paris,France
Tokyo Haneda Airport,HND,Tokyo,Japan
El Dorado International Airport,BOG,Bogotá,Colombia
Sydney Kingsford Smith Airport,SYD,Sydney,Australia
Frankfurt am Main Airport,FRA,Frankfurt,Germany
Dubai International Airport,DXB,Dubai,UAE
Toronto Pearson International Airport,YYZ,Toronto,Canada
Aeropuerto Internacional Mariscal Sucre,UIO,Quito,Ecuador
Prueba,AYU,RUSIA,FIEC
COSA,COS,russs,cosita
